name	category	relevance	country_iso	x	y
Alte Pinakothek	Museum	120	DE	-0.13174708748550643	-0.674695297218237
Neue Pinakothek	Museum	55	DE	-0.2254001403934085	-0.7769254501937344
Pinakothek der Moderne	Museum	57	DE	-0.22242333548036405	-0.7737840244689835
Berliner Stadtschloss	Castle	79	DE	-0.31342624084267007	-0.7835063074122162
Villa Berg	Historical Site	138	DE	-0.14742201574132024	-0.6181191550380987
Grabkapelle auf dem Württemberg	Historical Site	70	DE	-0.2445015408297961	-0.7258074876100751
Oldenburg	Castle	237	DE	-0.1016200947930601	-0.47674249363024873
Schloss Ehreshoven	Castle	55	DE	-0.353051299567299	-0.7340449612668837
Kronprinzenpalais	Palace	74	DE	-0.32067395645725055	-0.7913054732736047
Museum für Kunst und Gewerbe Hamburg	Museum	70	DE	-0.3896144472103564	-0.7575673651378049
Sachsenhausen concentration camp	Historical Site	549	DE	0.35433905432150387	-0.04378158841631822
Limburger Dom	Church	188	DE	-0.13641821361212106	-0.5317661135979513
Marburger Schloss	Museum	57	DE	-0.3322258977875576	-0.7489605939664236
Schlossanlage Schleißheim	Castle	59	DE	-0.22280275492517598	-0.7710555248519949
Schloss Sigmaringen	Castle	64	DE	-0.23150665587404656	-0.7313615263907323
Schloss Stolzenfels	Castle	57	DE	-0.3266034541598529	-0.7310919231924896
Würzburger Dom	Church	81	DE	-0.2548955080658218	-0.7219452205326157
Marstall	Building	62	DE	-0.2811343642944062	-0.7338304270134172
Schloss Schwetzingen	Palace	82	DE	-0.25260676305581603	-0.7004813920666151
Capitol	Building	80	DE	-0.2555119387177011	-0.7037008552081578
St. Pauli	Church	114	DE	-0.3130251177169841	-0.686793198371392
Basilika Vierzehnheiligen	Church	88	DE	-0.24504512392458047	-0.7272506245553173
Veste Coburg	Castle	61	DE	-0.28929891500524346	-0.7694208111289372
Kaskade	Monument	897	DE	0.925188044345582	0.5471469641879302
St. Moritz	Church	609	DE	0.5196027201946649	0.09215576259639531
Kreuzweg	Monument	101	DE	-0.22641511940750642	-0.7016157485178551
Cadolzburg	Castle	51	DE	-0.27929140317908147	-0.7797162429821649
Schloss Bückeburg	Castle	53	DE	-0.38161736366963517	-0.7655792458913766
Sprengel Museum Hannover	Museum	67	DE	-0.35853895943696595	-0.7532521258466947
Würzburger Residenz	Castle	176	DE	-0.11799412339010812	-0.5726482183497531
Schloss Schönbrunn	Castle	204	DE	-0.03608879008083693	-0.5449297970631946
Schloss Burg	Castle	122	DE	-0.26346644115833173	-0.626908852359421
Gasometer Oberhausen	Museum	124	DE	-0.2744469005199562	-0.6216782061401558
Dokumentationszentrum Reichsparteitagsgelände	Museum	99	DE	-0.20698562196860704	-0.7075896920878976
Marmorpalais	Historical Site	71	DE	-0.32458956521888105	-0.7912190384402144
Senckenberg Naturmuseum	Museum	110	DE	-0.2348937008215006	-0.6609058806976262
Burgstall	Historical Site	83	DE	-0.2553381969536431	-0.7325421478687231
Mariä Heimsuchung	Church	59	DE	-0.21420806062767755	-0.7637894583940976
Burg Sayn	Castle	56	DE	-0.3324777272695938	-0.7331261771726648
Sida	Building	129	DJ	1.337108545953985	-0.8911177543942833
Rosenborg Slot	Castle	70	DK	-0.4345758279076258	-0.80135077939123
Kronborg	Castle	124	DK	-0.3676404097932566	-0.7186513300740931
Frederiksborg Slot	Castle	98	DK	-0.4046414017647247	-0.7548077775121073
Amalienborg Palace	Palace	89	DK	-0.40701448073548274	-0.7716768202860521
Marmorkirken	Church	52	DK	-0.46036731457718416	-0.8298142313293042
Kleine Meerjungfrau	Monument	217	DK	-0.2228930906973524	-0.5705195536773557
Ny Carlsberg Glyptotek	Museum	64	DK	-0.4428379000819403	-0.8106501548860648
Kirke	Church	177	DK	-0.3367552956899279	-0.6076537602931342
Roskilde Cathedral	Church	134	DK	-0.34546997617004677	-0.6939478426201544
Nuestra Señora de la Altagracia	Church	94	DO	0.00780779102425079	0.5113276126003955
Khalifa	Building	52	DZ	0.06172272237915326	-0.6080959830859327
Douane	Building	98	DZ	0.2106938510606458	-0.6081181804356037
Timgad	Archaeological Site	104	DZ	0.20253873423997848	-0.5740815072357437
Marabout	Monument	100	DZ	0.12477343645898087	-0.5412756945645334
Thebes	Archaeological Site	76	EG	0.7079200575787062	-0.9196654701067979
Tanis	Archaeological Site	679	EG	1.4018057771044763	0.014624407119173137
Pyramid of Khafre	Pyramid	310	EG	0.8950020080783628	-0.5508791885619279
Pithom	Archaeological Site	78	EG	0.5509679745381898	-0.9307038962736094
Memphis	Archaeological Site	111	EG	0.6129370651950115	-0.8648675176384741
Colossi of Memnon	Monument	219	EG	0.9127483392093307	-0.6940002323103899
Pyramids of Giza	Pyramid	88	EG	0.5750564708939041	-0.9000285381883247
Hermopolis	Archaeological Site	68	EG	0.6133726970103681	-0.9169823898306202
Heliopolis	Archaeological Site	64	EG	0.5368266173564106	-0.9409591884017533
